persona_id;anio;sexo_id;edad;maximo_grado_academico_id;disciplina_maximo_grado_academico_id;disciplina_titulo_grado_id;disciplina_experticia_id;tipo_personal_id;producciones_ult_anio;producciones_ult_2_anios;producciones_ult_3_anios;producciones_ult_4_anios;institucion_trabajo_id;seniority_level;categoria_conicet_id;categoria_incentivos;max_dedicacion_horaria_docente_id;institucion_cargo_docente_id;clase_cargo_docente_id;tipo_condicion_docente_id
1;2011;2;36;-1;-1;-1;64;4;0;1;1;1;4488;   ;-1;-1;3;116;22;1
5;2011;1;48;1;255;255;255;3;5;7;13;17;118;B  ;2;3;3;118;19;2
7;2011;2;30;5;111;111;158;1;11;13;13;13;587;D  ;;;;;;
9;2011;2;61;1;256;256;157;3;5;14;16;19;5191;B  ;;;;;;
10;2011;2;51;5;248;248;29;4;0;1;3;4;44;   ;-1;4;3;101;21;1
11;2011;1;39;2;223;203;280;3;8;12;15;18;7310;C  ;-1;4;3;1654;17;3
12;2011;2;48;1;58;57;55;1;1;2;2;3;578;B  ;-1;3;1;578;19;1
13;2011;2;41;5;192;192;281;4;0;0;0;0;517;   ;-1;-1;3;517;21;1
15;2011;1;46;1;258;258;49;3;4;7;9;12;444;B  ;-1;3;1;444;21;1
17;2011;2;53;2;281;199;151;3;0;0;1;2;691;C  ;-1;4;3;213;18;2
19;2011;2;52;1;255;255;255;3;0;1;1;2;122;A  ;3;1;1;4009;18;1
21;2011;1;34;1;40;40;95;1;6;7;10;14;4154;C  ;7;5;3;3396;21;1
22;2011;2;33;1;65;65;65;3;7;10;11;16;9980;B  ;2;3;1;252;19;1
23;2011;2;58;1;256;256;18;3;14;24;44;51;939;A  ;5;1;1;146;17;1
24;2011;2;53;1;34;34;22;3;1;2;3;5;44;S/D;;;;;;
25;2011;2;37;1;237;206;206;1;3;7;10;12;357;C  ;7;5;3;357;46;1
26;2011;1;60;1;251;251;210;3;6;9;10;15;517;A  ;-1;2;1;517;17;1
27;2011;1;51;5;207;207;280;3;1;5;15;21;6317;A  ;8;2;3;5095;17;3
28;2011;2;49;1;11;11;11;3;6;8;9;10;22;B  ;;;;;;
29;2011;1;50;5;34;34;248;2;0;0;0;1;44;   ;;;;;;
32;2011;1;47;1;106;38;-1;3;11;19;21;23;877;A  ;3;2;3;356;18;1
35;2011;2;44;1;43;43;42;3;15;18;20;26;908;A  ;2;2;1;5637;18;1
36;2011;2;47;2;220;220;220;3;4;8;13;18;407;B  ;-1;3;1;407;19;1
39;2011;1;49;1;48;48;34;3;2;3;5;14;591;S/D;;;;;;
40;2011;2;36;1;20;20;20;3;6;14;19;25;929;B  ;2;3;3;4735;18;1
42;2011;2;34;1;-1;-1;48;1;3;8;13;14;8022;C  ;2;-1;3;416;40;2
43;2011;2;54;1;11;11;11;3;2;8;15;22;4846;A  ;4;1;3;269;17;1
45;2011;2;25;5;38;38;38;1;5;5;5;5;8382;D  ;;;;;;
46;2011;1;34;1;7;3;4;3;8;13;27;30;1243;B  ;2;3;1;1243;18;1
48;2011;1;38;1;248;-1;36;1;5;12;14;27;1717;C  ;-1;4;3;334;20;1
49;2011;2;67;1;214;214;33;3;1;2;2;4;9756;C  ;-1;4;2;9756;17;2
50;2011;2;44;5;256;256;106;3;2;7;18;25;8328;B  ;-1;3;1;7414;18;1
51;2011;2;51;1;254;107;254;3;15;33;46;67;1780;A  ;-1;1;1;4191;17;1
54;2011;2;51;1;20;20;22;3;3;3;3;3;1839;S/D;;;;;;
55;2011;1;38;1;-1;-1;50;3;8;22;32;34;7429;B  ;2;3;3;357;20;2
56;2011;2;50;1;234;234;207;3;6;12;19;38;1268;A  ;4;1;2;1416;17;1
57;2011;1;30;2;99;99;207;3;0;4;6;6;7310;S/D;-1;-1;3;101;22;1
58;2011;2;30;5;254;254;254;2;1;2;2;2;1795;   ;;;;;;
59;2011;1;41;1;-1;-1;249;3;12;17;25;25;342;B  ;2;3;3;342;21;1
61;2011;2;62;1;14;14;16;3;16;24;33;39;7205;A  ;4;1;2;1715;19;2
62;2011;2;40;1;-1;-1;7;3;7;11;13;14;4819;A  ;3;2;1;4819;19;2
64;2011;2;28;5;7;7;254;3;3;6;6;7;1728;S/D;-1;-1;2;1728;31;2
65;2011;2;34;1;174;35;-1;3;2;4;6;7;8022;C  ;1;-1;3;416;69;2
68;2011;1;35;2;223;192;254;3;2;4;5;7;4488;S/D;-1;-1;3;3969;18;3
69;2011;2;43;1;188;188;38;3;6;14;15;17;64;A  ;2;2;3;103;18;1
72;2011;1;48;1;277;277;277;3;10;19;28;38;178;B  ;3;-1;2;369;17;3
75;2011;2;62;1;158;157;158;3;8;32;71;84;339;A  ;-1;1;1;374;17;1
76;2011;1;64;1;282;282;223;3;2;2;6;6;5901;A  ;-1;1;1;476;17;1
80;2011;1;64;3;279;277;277;3;4;6;10;12;218;B  ;-1;3;2;3753;17;1
81;2011;2;52;1;-1;-1;36;3;11;14;23;33;44;A  ;-1;1;2;5984;18;1
82;2011;1;36;2;205;192;204;3;1;4;6;6;5392;S/D;-1;-1;3;691;20;1
84;2011;2;71;1;282;208;282;3;3;7;12;16;621;A  ;4;1;3;754;17;3
86;2011;2;43;1;257;250;48;3;15;22;32;40;5429;A  ;3;1;3;5979;18;1
87;2011;1;51;1;45;35;50;3;10;20;28;28;928;A  ;3;2;3;252;18;1
88;2011;2;45;2;278;223;223;3;1;2;2;2;3765;B  ;-1;3;1;420;17;1
89;2011;2;38;1;263;-1;80;3;4;5;9;10;905;C  ;2;-1;3;402;69;2
90;2011;2;44;1;61;61;61;3;9;13;14;14;1572;B  ;2;3;1;1572;17;1
95;2011;2;38;1;271;271;38;3;2;3;4;6;918;B  ;1;3;1;563;20;1
96;2011;2;65;3;199;197;199;3;2;2;2;4;550;A  ;-1;2;1;9020;17;1
97;2011;2;53;1;199;199;197;3;1;3;9;18;1728;C  ;-1;5;1;1728;18;2
98;2011;2;68;1;279;22;113;3;0;1;4;7;8208;S/D;;;;;;
99;2011;1;55;1;243;243;243;3;9;13;19;26;420;B  ;-1;3;2;420;17;1
100;2011;2;59;5;259;259;34;3;0;0;0;0;2367;A  ;-1;2;3;582;17;1
101;2011;1;43;1;271;38;96;3;4;5;9;14;9485;B  ;2;3;3;3932;20;1
102;2011;2;24;5;12;12;-1;1;0;0;0;0;148;D  ;6;-1;3;148;69;1
103;2011;2;37;1;45;45;38;3;5;8;11;13;8531;C  ;;;;;;
104;2011;1;53;2;277;255;279;3;2;3;4;9;1831;C  ;-1;4;2;122;21;1
106;2011;2;41;1;11;11;11;3;1;3;5;5;1730;B  ;2;3;1;122;20;1
107;2011;2;44;1;174;48;48;3;3;11;11;20;9412;A  ;2;2;3;252;20;1
108;2011;2;30;5;-1;-1;7;4;2;3;6;6;8631;   ;6;5;3;1243;21;1
109;2011;2;43;1;42;42;156;3;4;7;8;8;3642;A  ;-1;2;3;421;18;1
111;2011;2;55;1;277;277;277;3;2;4;25;28;4095;A  ;4;1;1;1781;17;1
112;2011;2;34;5;277;277;277;1;9;13;16;17;8173;C  ;6;5;3;5921;20;1
115;2011;1;48;1;285;285;285;3;18;27;33;44;3488;B  ;3;-1;3;357;17;2
116;2011;2;30;5;32;32;32;1;2;11;17;19;8207;C  ;6;5;3;971;20;1
117;2011;2;55;5;250;250;48;3;2;5;7;9;5376;S/D;;;;;;
118;2011;1;34;1;-1;-1;46;1;3;7;10;10;5376;C  ;;;;;;
119;2011;1;31;5;48;48;48;1;1;3;4;4;5376;D  ;;;;;;
120;2011;2;41;1;255;255;8;3;9;10;11;16;5124;B  ;2;3;3;468;18;2
123;2011;2;49;1;200;200;279;3;8;12;17;17;369;A  ;-1;1;1;370;17;1
124;2011;2;42;1;4;3;4;3;7;10;14;20;3680;A  ;2;2;3;228;19;2
125;2011;2;59;1;20;17;103;3;11;25;39;47;4912;A  ;;;;;;
126;2011;2;33;2;277;277;152;1;3;8;12;13;1466;B  ;-1;3;3;1466;20;1
127;2011;2;61;1;252;237;237;3;1;3;20;28;2030;A  ;-1;1;1;2062;17;1
128;2011;2;56;1;46;46;46;3;15;24;32;37;122;A  ;4;1;1;3434;19;1
129;2011;2;35;2;280;208;280;3;2;3;3;4;438;C  ;-1;4;1;438;18;2
131;2011;1;35;5;84;84;85;1;4;5;7;8;252;C  ;6;5;3;252;18;1
135;2011;1;61;1;277;277;277;3;12;25;38;48;5295;A  ;3;1;3;7553;17;2
136;2011;2;53;1;259;259;34;3;5;25;48;62;3895;A  ;2;1;3;468;18;1
137;2011;2;24;-1;-1;-1;11;2;0;0;0;0;5873;   ;;;;;;
139;2011;1;52;1;201;201;49;3;7;9;9;11;413;B  ;-1;3;3;416;21;1
140;2011;1;43;1;33;23;32;3;2;6;7;9;1353;C  ;2;-1;3;971;18;3
141;2011;1;33;1;258;40;258;1;4;8;10;10;4154;C  ;7;4;3;3396;21;1
142;2011;2;36;1;-1;-1;38;3;6;10;13;14;8382;B  ;1;3;3;156;20;1
144;2011;1;54;1;234;233;233;3;2;3;6;7;420;A  ;-1;2;1;420;17;1
146;2011;2;55;3;281;281;256;2;0;0;0;0;9842;   ;;;;;;
147;2011;1;50;1;275;186;275;3;7;15;25;29;4603;A  ;3;2;2;4971;18;1
