;producto_id;tipo_produccion_id;idioma_id;anio_publica;titulo;palabras_clave
0;1;1;4;2016;Sedative effect of central administration of Coriandrum sativum essential oil and its major component linalool in neonatal chicks;coriandro|sedacion|aceite esencial
1;5;1;4;2016;Intra-specific pelage color variation in a South American small rodent species;COLECCIONES|AKODON|ARGENTINA|COLOR
2;6;1;5;2016;OBSIDIANAS EN EL TARDÍO-INKA DE ANTOFAGASTA DE LA SIERRA (PUNA MERIDIONAL ARGENTINA): ¿FONDO DE CUENCA VERSUS SECTORES INTERMEDIOS?;XRF|Tardío-Inka|unidades familiares pastoriles|elites|poder social
3;8;1;4;2016;Antioxidant status, lipid and color stability of aged beef from grazing steers supplemented with corn grain and increasing levels of flaxseed;Argentine beef|Oxidative stability|Aging|Retail display|Antioxidant|Pasture|Oil seeds
4;12;1;4;2016;Effect of high-pressure treatment on hard cheese proteolysis;HIGH HYDROSTATIC PRESSURE|REGGIANITO CHEESE|RIPENING ACCELARATION|PROTEOLYSIS
5;16;1;4;2016;Synthetic stigmastanes with dual antiherpetic and immunomodulating activities inhibit ERK and Akt signaling pathways without binding to glucocorticoid receptors;SYNTHETIC STEROIDS|FLUORINATED STEROIDS|ANTIHERPETIC|CYTOKINES|SIGNALING PATHWAYS
6;18;1;4;2016;Electronic properties in intrinsically disordered double perovskites: Sr3MnMo2O9 and Ba3MnMo2O9 with Mo5+ valence state;Inorganic materials|Crystal structure|Electronic properties|Magnetic measurements|Neutron diffraction|Impedance spectroscop
7;20;1;4;2016;Photo -Fries rearrangement of aryl acetamides: regioselectivity induced by the aqueous micellar green environment;Photo-Fries|micellas|reordenamiento|aectanilides
8;27;1;4;2016;Intraspecific variation in essential oil composition of the medicinal plant Lippia integrifolia (Verbenaceae). Evidence for five chemotypes;INCAYUYO|LIPPIA INTEGRIFOLIA|VERBENACEAE|ABSOLUTE CONFIGURATION|BIOGENESIS|CHEMOTYPES|ESSENTIAL OIL|MONOTERPENE|SESQUITERPENE|TRANS-DAVANONE
9;32;1;4;2016;Vibrational Spectra of Barium Oxalate Hemihydrate;Barium oxalate|Infrared spectra|Raman spectra
10;34;1;4;2016;Relationship between endothelial progenitor cells and vascular endothelial growth factor and its variation with exercise;CORONARY ARTERY DISEASE|EXCERCISE|VEGF LEVELS|PROGENITOR CELLS
11;36;1;4;2016;Monte Carlo Simulations of Settlement Dynamics in GPUs;Monte Carlo |Parallel processing |General purpose graphics processing units|Settlement dynamics
12;42;1;4;2016;Potential of Pseudomonas putida PCI2 for the protection of tomato plants against fungal pathogens;PSEUDOMONAS PUTIDA PCI2|BIOCONTROL
13;50;1;4;2016;Leukocyte counts in different populations of Antarctic Pygoscelid penguins along the Antarctic Peninsula;ANTARCTICA|GEOGRAPHICAL CONTEXT|LEUKOCYTE COUNTS|PYGOSCELID PENGUINS
14;53;1;4;2016;Aquatic microinvertebrate abundance and species diversity in peat bogs of Tierra del Fuego (Argentina);MICROINVERTEBRATES|PEAT BOGS|DIVERSITY|TIERRA DEL FUEGO
15;54;1;4;2016;The N-terminal pre-A region of Mycobacterium tuberculosis 2/2HbN promotes NO-dioxygenase activity;M. Tuberculosis|truncated hemoglobin
16;57;1;5;2016;Medicalización más allá de los médicos. Marketing farmacéutico en torno al Trastorno por Déficit de Atención e Hiperactividad en Argentina y Brasil (1998-2014);Medicalización|Grupo de apoyo|TDHA|Industria farmacéutica
17;59;1;4;2016;Macro-Climatic Distribution Limits Show Both Niche Expansion and Niche Specialization among C4 Panicoids;gramineas|fotosintesis|evolucion|expansion de nichos
18;61;1;4;2016;Brucella abortus Omp19 recombinant protein subcutaneously co-delivered with an antigen enhances antigen-specific T helper 1 memory responses and induces protection against parasite challenge;Vacuna|adyuvante
19;62;1;4;2016;Brain Angiotensin II AT1 receptors are involved in the acute and long-term amphetamine-induced neurocognitive alterations;ANGIOTENSIN II|AMPHETAMINE|HIPPOCAMPUS|LONG-TERM MEMORY
20;63;1;4;2016;THE ROLE OF POLYSACCHARIDES ON THE STABILITY OF COLLOIDAL PARTICLES OF BEER;HYDROCOLLOID|POLYSACCHARIDES|VISCOCITY
21;70;1;4;2016;Hybrid films based on a bridged silsesquioxane doped with goethite and montmorillonite nanoparticles as sorbents of wastewater contaminants;SILSESQUIOXANE|GOETHITE|MONTMORILLONITE|WASTEWATER CONTAMINATS
22;74;1;4;2016;POPULATION BALANCE DISCRETIZATION FOR GROWTH, ATTRITION, AGGREGATION, BREAKAGE AND NUCLEATION;POPULATION BALANCE EQUATION|PARTICLES SIZE DISTRIBUTION|DISCRETIZATION METHOD|SIZE CHANGE MECHANISMS
23;75;1;4;2016;SiO2-CaO-P2O5 (58S) sol gel glass applied onto surgical grade stainless steel by spray technique: morphological characterization by digital image processing;58S glass|Stainless steel coating|Spray de- position|Image analysis
24;77;1;4;2016;Determination of surface tension of surfactant solutions through capillary rise measurements. An image-processing undergraduate laboratory experiment;Physical Chemistry|Surface Science|Thermodynamics
25;81;1;4;2016;Spatio-temporal genetic structure of the rodent Calomys venustus in linear, fragmented habitats;agroecosystem|Calomys venustus|dispersal|genetic structure|linear habitat|maintenance of genetic variability|microsatellite|spatial genetic autocorrelation
26;85;1;5;2016;Espondilitis anquilosante en una población contemporánea de La Plata, Argentina;ESPONDILITIS ANQUILOSANTE|CAÑA DE BAMBU|ESPONDILOARTROPATIAS|COLECCION LAMBRE|MUESTRA CONTEMPORANEA
